Crack radius (m),Closure stress (Pa)
2.5e-06,121465357.78621942
7.500000000000001e-06,122893581.84901905
1.2500000000000002e-05,124321805.91181862
1.7500000000000002e-05,125750029.9746182
2.25e-05,127178254.03741771
2.7500000000000004e-05,128606478.10021734
3.2500000000000004e-05,130034702.16301692
3.7500000000000003e-05,131462926.22581649
4.25e-05,132891150.288616
4.75e-05,134319374.3514156
5.25e-05,135747598.41421518
5.75e-05,137175822.47701475
6.25e-05,138604046.53981432
6.750000000000001e-05,140032270.6026139
7.25e-05,141460494.66541344
7.750000000000001e-05,142888718.728213
8.25e-05,144316942.7910126
8.750000000000001e-05,145745166.85381216
9.25e-05,147173390.91661173
9.750000000000001e-05,148601614.9794113
0.0001025,150029839.04221085
0.00010750000000000001,151458063.10501042
0.0001125,152886287.16781
0.00011750000000000001,154314511.2306096
0.0001225,155742735.29340914
0.0001275,157170959.35620874
0.00013250000000000002,158599183.41900828
0.0001375,160027407.4818079
0.0001425,161455631.54460743
0.0001475,162883855.60740703
0.00015250000000000002,164312079.67020658
0.0001575,165740303.73300615
0.00016250000000000002,167168527.7958057
0.0001675,168596751.8586053
0.00017250000000000002,170024975.92140484
0.00017750000000000003,171453199.98420444
0.00018250000000000002,172881424.04700398
0.0001875,174309648.10980356
0.00019250000000000002,175737872.1726031
0.00019750000000000003,177166096.2354027
0.00020250000000000002,178594320.29820228
0.0002075,180022544.36100185
0.00021250000000000002,181450768.42380142
0.00021750000000000003,182878992.486601
0.00022250000000000001,184307216.54940057
0.0002275,185735440.6122001
0.0002325,187163664.6749997
0.00023750000000000003,188591888.73779926
0.00024250000000000004,190020112.80059886
0.0002475,191448336.86339837
0.0002525,192876560.92619798
0.0002575,194304784.98899752
0.00026250000000000004,195733009.05179712
0.00026750000000000005,197161233.11459666
0.0002725,198589457.17739624
0.0002775,200017681.24019578
0.00028250000000000004,201445905.30299538
0.0002875,202874129.36579496
0.0002925,204302353.42859453
0.0002975,205730577.4913941
0.00030250000000000003,207158801.55419368
0.00030750000000000005,208587025.61699325
0.0003125,210015249.67979282
0.0003175,211443473.7425924
0.00032250000000000003,212871697.80539197
0.00032750000000000005,214299921.86819154
0.0003325,215728145.93099108
0.0003375,217156369.99379066
0.00034250000000000003,218584594.05659023
0.00034750000000000004,220012818.1193898
0.00035250000000000006,221441042.18218938
0.0003575,222869266.24498892
0.00036250000000000003,224297490.3077885
0.00036750000000000004,225725714.37058806
0.0003725,227153938.43338767
0.0003775,228582162.4961872
0.00038250000000000003,230010386.5589868
0.00038750000000000004,231438610.62178636
0.00039250000000000005,232866834.68458596
0.0003975,234295058.7473855
0.0004025,235723282.8101851
0.00040750000000000004,237151506.87298465
0.00041250000000000005,238579730.93578425
0.0004175,240007954.99858376
0.0004225,241436179.06138334
0.00042750000000000004,242864403.1241829
0.00043250000000000005,244292627.18698248
0.00043750000000000006,245720851.24978206
0.0004425,247149075.3125816
0.00044750000000000004,248577299.37538117
0.00045250000000000005,250005523.43818074
0.0004575,251433747.50098032
0.0004625,252861971.5637799
0.00046750000000000003,254290195.6265795
0.00047250000000000005,255718419.68937904
0.00047750000000000006,257146643.75217864
0.0004825000000000001,257587918.79534718
0.0004875000000000001,258029193.83851573
0.0004925000000000001,258470468.88168427
0.0004975,258911743.92485282
0.0005025,259353018.96802136
0.0005075,259794294.01118994
0.0005125,260235569.05435848
0.0005175000000000001,260676844.09752703
0.0005225000000000001,261118119.14069557
0.0005275000000000001,261559394.18386412
0.0005325,262000669.22703266
0.0005375,262441944.2702012
0.0005425,262883219.31336975
0.0005475,263324494.3565383
0.0005525,263765769.39970687
0.0005575,264207044.44287542
0.0005625000000000001,264648319.48604396
0.0005675000000000001,265089594.5292125
0.0005725000000000001,265530869.57238105
0.0005775000000000001,265972144.6155496
0.0005825,266413419.65871814
0.0005875,266854694.70188668
0.0005925,267295969.74505523
0.0005975,267737244.7882238
0.0006025000000000001,268178519.83139235
0.0006075000000000001,268619794.8745609
0.0006125000000000001,269061069.91772944
0.0006175,269502344.960898
0.0006225,269943620.0040665
0.0006275,270384895.0472351
0.0006325,270826170.0904036
0.0006375,271267445.13357216
0.0006425000000000001,271708720.1767407
0.0006475000000000001,272149995.21990925
0.0006525000000000001,272591270.2630778
0.0006575000000000001,273032545.3062464
0.0006625000000000001,273473820.34941494
0.0006675,273915095.3925835
0.0006725,274356370.43575203
0.0006775,274797645.4789206
0.0006825000000000001,275238920.5220891
0.0006875000000000001,275680195.56525767
0.0006925000000000001,276121470.6084262
0.0006975000000000001,276562745.65159476
0.0007025,277004020.6947633
0.0007075,277445295.73793185
0.0007125,277886570.7811004
0.0007175,278327845.82426894
0.0007225,278769120.8674375
0.0007275000000000001,279210395.910606
0.0007325000000000001,279651670.9537746
0.0007375000000000001,280092945.9969431
0.0007425000000000001,280534221.04011166
0.0007475000000000001,280975496.0832802
0.0007525,281416771.12644875
0.0007575,281858046.1696173
0.0007625,282299321.2127859
0.0007675000000000001,282740596.25595444
0.0007725000000000001,283181871.299123
0.0007775000000000001,283623146.34229153
0.0007825000000000001,284064421.3854601
0.0007875,284505696.4286286
0.0007925,284946971.47179717
0.0007975,285388246.5149657
0.0008025,285829521.55813426
0.0008075000000000001,286270796.6013028
0.0008125000000000001,286712071.64447135
0.0008175000000000001,287153346.6876399
0.0008225000000000001,287594621.73080844
0.0008275000000000001,288035896.773977
0.0008325000000000001,288477171.8171455
0.0008375,288918446.8603141
0.0008425,289359721.9034826
0.0008475000000000001,289800996.94665116
0.0008525000000000001,290242271.98981977
0.0008575000000000001,290683547.0329883
0.0008625000000000001,291124822.07615685
0.0008675000000000001,291566097.1193254
0.0008725,292007372.16249394
0.0008775,292448647.2056625
0.0008825,292889922.24883103
0.0008875,293331197.2919996
0.0008925000000000001,293772472.3351681
0.0008975000000000001,294213747.37833667
0.0009025000000000001,294655022.4215052
0.0009075000000000001,295096297.46467376
0.0009125000000000001,295537572.5078423
0.0009175000000000001,295978847.55101085
0.0009225,296420122.5941794
0.0009275,296861397.63734794
0.0009325000000000001,297302672.6805165
0.0009375000000000001,297743947.723685
0.0009425000000000001,298185222.76685363
0.0009475000000000001,298626497.8100222
0.0009525000000000001,299067772.8531907
0.0009575000000000001,299509047.89635926
0.0009625,299950322.9395278
0.0009675,300391597.98269635
0.0009725000000000001,300832873.0258649
0.0009775,301274148.06903344
0.0009825,302112733.9198483
0.0009875,302951319.7706632
0.0009925,303789905.6214781
0.0009975000000000001,304628491.472293
0.0010025,305467077.3231079
0.0010075000000000001,306305663.1739228
0.0010125,307144249.02473766
0.0010175000000000002,307982834.8755526
0.0010225,308821420.7263674
0.0010275000000000002,309660006.57718235
0.0010325,310498592.42799723
0.0010375000000000002,311337178.27881217
0.0010425,312175764.129627
0.0010475000000000003,313014349.9804419
0.0010525,313852935.8312568
0.0010575000000000003,314691521.68207175
0.0010625,315530107.53288656
0.0010675,316368693.38370144
0.0010725,317207279.2345164
0.0010775,318045865.0853312
0.0010825000000000001,318884450.93614614
0.0010875,319723036.786961
0.0010925000000000002,320561622.63777596
0.0010975,321400208.4885908
0.0011025000000000002,322238794.3394057
0.0011075,323077380.1902206
0.0011125000000000002,323915966.04103553
0.0011175,324754551.89185035
0.0011225000000000002,325593137.7426653
0.0011275,326431723.5934801
0.0011325000000000003,327270309.44429505
0.0011375,328108895.2951099
0.0011425000000000003,328947481.14592487
0.0011475,329786066.9967397
0.0011525,330624652.8475546
0.0011575000000000001,331463238.6983695
0.0011625,332301824.5491843
0.0011675000000000001,333140410.39999926
0.0011725,333978996.25081414
0.0011775000000000002,334817582.1016291
0.0011825,335656167.9524439
0.0011875000000000002,336494753.80325884
0.0011925,337333339.6540737
0.0011975000000000002,338171925.50488865
0.0012025,339010511.3557035
0.0012075000000000002,339849097.2065184
0.0012125,340687683.0573333
0.0012175000000000003,341526268.90814817
0.0012225,342364854.75896305
0.0012275000000000003,343203440.609778
0.0012325,344042026.46059287
0.0012375,344880612.31140774
0.0012425000000000001,345719198.1622226
0.0012475,346557784.0130375
0.0012525000000000001,347396369.8638524
0.0012575,348234955.71466726
0.0012625000000000002,349073541.5654822
0.0012675,349912127.4162971
0.0012725000000000002,350750713.267112
0.0012775,351589299.11792684
0.0012825000000000002,352427884.9687418
0.0012875,353266470.8195566
0.0012925000000000002,354105056.67037153
0.0012975,354943642.5211864
0.0013025000000000003,355782228.37200135
0.0013075,356620814.2228162
0.0013125000000000003,357459400.0736311
0.0013175,358297985.924446
0.0013225,359136571.77526087
0.0013275000000000001,359975157.62607574
0.0013325,360813743.4768906
0.0013375000000000001,361652329.32770556
0.0013425,362490915.17852044
0.0013475000000000002,363329501.0293353
0.0013525,364168086.8801502
0.0013575000000000002,365006672.73096514
0.0013625,365845258.58177996
0.0013675000000000002,366683844.4325949
0.0013725,367522430.2834098
0.0013775000000000003,368361016.13422465
0.0013825,369199601.98503953
0.0013875000000000003,370038187.8358545
0.0013925,370876773.68666935
0.0013975000000000003,371715359.5374843
0.0014025,372553945.3882991
0.0014075000000000001,373392531.239114
0.0014125000000000001,374231117.08992887
0.0014175,375069702.94074374
0.0014225000000000002,376120139.60773855
0.0014275,377170576.27473325
0.0014325000000000002,378221012.94172806
0.0014375,379271449.60872275
0.0014425000000000002,380321886.27571756
0.0014475,381372322.94271225
0.0014525000000000002,382422759.60970706
0.0014575,383473196.27670175
0.0014625000000000003,384523632.94369656
0.0014675,385574069.6106913
0.0014725000000000003,386624506.27768606
0.0014775,387674942.9446808
0.0014825000000000003,388725379.6116756
0.0014875,389775816.2786703
0.0014925000000000001,390826252.94566506
0.0014975000000000001,391876689.6126598
0.0015025,392927126.2796545
0.0015075000000000002,393977562.9466493
0.0015125,395027999.613644
0.0015175000000000002,396078436.2806388
0.0015225,397128872.9476335
0.0015275000000000002,398179309.6146283
0.0015325,399229746.28162307
0.0015375000000000002,400280182.9486178
0.0015425,401330619.61561257
0.0015475000000000003,402381056.2826073
0.0015525,403431492.94960207
0.0015575000000000003,404481929.6165969
0.0015625,405532366.28359157
0.0015675000000000003,406582802.9505864
0.0015725000000000001,407633239.61758107
0.0015775000000000001,408683676.2845758
0.0015825000000000001,409734112.9515706
0.0015875,410784549.6185653
0.0015925000000000002,411834986.2855601
0.0015975,412885422.9525548
0.0016025000000000002,413935859.61954963
0.0016075,414986296.2865443
0.0016125000000000002,416036732.95353913
0.0016175,417087169.6205338
0.0016225000000000002,418137606.28752863
0.0016275,419188042.9545233
0.0016325000000000003,420238479.62151814
0.0016375,421288916.2885128
0.0016425000000000003,422339352.95550764
0.0016475,423389789.6225023
0.0016525000000000003,424440226.28949714
0.0016575000000000001,425490662.9564918
0.0016625000000000001,426541099.6234866
0.0016675000000000001,427591536.2904813
0.0016725,428641972.9574761
0.0016775000000000002,429692409.62447083
0.0016825,430742846.2914656
0.0016875000000000002,431793282.9584604
0.0016925,432843719.6254551
0.0016975000000000002,433894156.2924499
0.0017025,434944592.9594446
0.0017075000000000003,435995029.6264394
0.0017125,437045466.2934341
0.0017175000000000003,438095902.9604289
0.0017225,439146339.6274236
0.0017275000000000003,440196776.2944184
0.0017325,441247212.96141315
0.0017375000000000003,442297649.6284079
0.0017425000000000001,443348086.29540265
0.0017475000000000001,444398522.9623974
0.0017525000000000002,445448959.62939215
0.0017575,446499396.29638684
0.0017625000000000002,447549832.96338165
0.0017675,448600269.63037634
0.0017725000000000002,449650706.29737115
0.0017775,450701142.96436584
0.0017825000000000002,452318197.80078983
0.0017875,453935252.6372137
0.0017925000000000003,455552307.4736377
0.0017975,457169362.3100616
0.0018025000000000003,458786417.14648557
0.0018075,460403471.98290944
0.0018125000000000003,462020526.81933343
0.0018175,463637581.65575725
0.0018225000000000003,465254636.4921813
0.0018275000000000001,466871691.3286051
0.0018325000000000001,468488746.16502905
0.0018375000000000002,470105801.001453
0.0018425,471722855.83787686
0.0018475000000000002,473339910.67430085
0.0018525,474956965.5107247
0.0018575000000000002,476574020.3471487
0.0018625,478191075.1835726
0.0018675000000000002,479808130.0199966
0.0018725,481425184.85642046
0.0018775000000000003,483042239.69284445
0.0018825,484659294.52926826
0.0018875000000000003,486276349.36569226
0.0018925,487893404.20211613
0.0018975000000000003,489510459.0385401
0.0019025000000000001,491127513.874964
0.0019075000000000003,492744568.711388
0.0019125000000000001,494361623.54781187
0.0019175000000000004,495978678.38423586
0.0019225000000000002,497595733.22065973
0.0019275,499212788.0570836
0.0019325000000000002,500829842.8935076
0.0019375,502446897.7299314
0.0019425000000000002,504063952.56635547
0.0019475,505681007.4027793
0.0019525000000000002,507298062.2392033
0.0019575,508915117.07562715
0.0019625000000000003,510532171.91205114
0.0019675,512149226.748475
0.0019725000000000003,513766281.584899
0.0019775,515383336.4213229
0.0019825,517000391.25774676
0.0019875,518617446.09417075
0.0019925000000000003,520234500.93059474
0.0019975,521851555.76701856
0.0020025,523468610.60344243
0.0020075,525085665.4398664
0.0020125000000000004,526702720.2762904
0.0020175,528319775.1127143
0.0020225,529936829.94913816
0.0020275000000000002,531553884.78556216
0.0020325000000000005,533170939.62198615
0.0020375000000000002,534787994.45841
