Crack radius (m),Closure stress (Pa)
2.5e-06,162919376.01822266
7.500000000000001e-06,163811241.2716689
1.2500000000000002e-05,164703106.52511516
1.7500000000000002e-05,165594971.77856138
2.25e-05,166486837.0320076
2.7500000000000004e-05,167378702.28545386
3.2500000000000004e-05,168270567.5389001
3.7500000000000003e-05,169162432.79234636
4.25e-05,170054298.0457926
4.75e-05,170946163.29923883
5.25e-05,171838028.55268505
5.75e-05,172729893.8061313
6.25e-05,173621759.05957755
6.750000000000001e-05,174513624.31302378
7.25e-05,175405489.56647003
7.750000000000001e-05,176297354.81991625
8.25e-05,177189220.0733625
8.750000000000001e-05,178081085.32680875
9.25e-05,178972950.580255
9.750000000000001e-05,179864815.83370125
0.0001025,180756681.0871475
0.00010750000000000001,181648546.3405937
0.0001125,182540411.59403995
0.00011750000000000001,183432276.8474862
0.0001225,184324142.10093242
0.0001275,185216007.35437867
0.00013250000000000002,186107872.6078249
0.0001375,186999737.86127114
0.0001425,187891603.1147174
0.0001475,188783468.36816362
0.00015250000000000002,189675333.62160987
0.0001575,190567198.87505612
0.00016250000000000002,191459064.12850234
0.0001675,192350929.3819486
0.00017250000000000002,193242794.6353948
0.00017750000000000003,194134659.8888411
0.00018250000000000002,195026525.1422873
0.0001875,195918390.39573354
0.00019250000000000002,196810255.64917982
0.00019750000000000003,197702120.90262604
0.00020250000000000002,198593986.15607226
0.0002075,199485851.4095185
0.00021250000000000002,200377716.66296476
0.00021750000000000003,201269581.91641098
0.00022250000000000001,202161447.16985723
0.0002275,203053312.42330346
0.0002325,203945177.6767497
0.00023750000000000003,204837042.93019593
0.00024250000000000004,205728908.18364218
0.0002475,206620773.43708843
0.0002525,207512638.69053465
0.0002575,208404503.9439809
0.00026250000000000004,209296369.19742715
0.00026750000000000005,210188234.4508734
0.0002725,211080099.70431963
0.0002775,211971964.95776588
0.00028250000000000004,212863830.21121213
0.0002875,213755695.46465832
0.0002925,214647560.7181046
0.0002975,215539425.97155082
0.00030250000000000003,216431291.22499707
0.00030750000000000005,217323156.47844332
0.0003125,218215021.73188955
0.0003175,219106886.98533577
0.00032250000000000003,219998752.23878202
0.00032750000000000005,220890617.49222827
0.0003325,221782482.7456745
0.0003375,222674347.99912077
0.00034250000000000003,223566213.252567
0.00034750000000000004,224458078.5060132
0.00035250000000000006,225349943.7594595
0.0003575,226241809.01290572
0.00036250000000000003,227133674.26635194
0.00036750000000000004,228025539.51979822
0.0003725,228570900.5980792
0.0003775,229116261.67636022
0.00038250000000000003,229661622.7546412
0.00038750000000000004,230206983.83292222
0.00039250000000000005,230752344.91120324
0.0003975,231297705.98948422
0.0004025,231843067.0677652
0.00040750000000000004,232388428.14604622
0.00041250000000000005,232933789.22432724
0.0004175,233479150.30260822
0.0004225,234024511.38088924
0.00042750000000000004,234569872.45917022
0.00043250000000000005,235115233.53745124
0.00043750000000000006,235660594.61573222
0.0004425,236205955.69401324
0.00044750000000000004,236751316.77229422
0.00045250000000000005,237296677.85057524
0.0004575,237842038.92885622
0.0004625,238387400.00713724
0.00046750000000000003,238932761.08541822
0.00047250000000000005,239478122.16369924
0.00047750000000000006,240023483.24198022
0.0004825000000000001,240568844.32026124
0.0004875000000000001,241114205.39854223
0.0004925000000000001,241659566.47682324
0.0004975,242204927.55510423
0.0005025,242750288.63338524
0.0005075,243295649.71166623
0.0005125,243841010.78994724
0.0005175000000000001,244386371.86822823
0.0005225000000000001,244931732.94650924
0.0005275000000000001,245477094.02479023
0.0005325,246022455.1030712
0.0005375,246567816.18135223
0.0005425,247113177.25963324
0.0005475,247658538.33791423
0.0005525,248203899.41619524
0.0005575,248749260.49447623
0.0005625000000000001,249294621.57275724
0.0005675000000000001,249839982.65103823
0.0005725000000000001,250385343.72931924
0.0005775000000000001,250930704.80760026
0.0005825,251476065.88588125
0.0005875,252021426.96416223
0.0005925,252566788.04244325
0.0005975,253112149.12072423
0.0006025000000000001,253657510.19900525
0.0006075000000000001,254202871.27728623
0.0006125000000000001,254748232.35556725
0.0006175,255293593.43384823
0.0006225,255838954.51212925
0.0006275,256384315.59041023
0.0006325,256929676.66869125
0.0006375,257475037.74697223
0.0006425000000000001,258020398.82525325
0.0006475000000000001,258565759.90353423
0.0006525000000000001,259111120.98181525
0.0006575000000000001,259656482.06009626
0.0006625000000000001,260201843.13837725
0.0006675,260747204.21665823
0.0006725,261292565.29493925
0.0006775,261837926.37322026
0.0006825000000000001,262383287.45150125
0.0006875000000000001,262928648.52978224
0.0006925000000000001,263474009.60806325
0.0006975000000000001,264019370.68634427
0.0007025,264564731.76462525
0.0007075,265110092.84290624
0.0007125,265655453.92118725
0.0007175,266200814.99946827
0.0007225,266746176.07774925
0.0007275000000000001,267291537.15603024
0.0007325000000000001,267836898.23431125
0.0007375000000000001,268382259.31259227
0.0007425000000000001,268927620.39087325
0.0007475000000000001,269472981.46915424
0.0007525,270018342.5474352
0.0007575,270563703.62571627
0.0007625,271109064.70399725
0.0007675000000000001,271654425.78227824
0.0007725000000000001,272199786.8605593
0.0007775000000000001,272745147.93884027
0.0007825000000000001,273290509.01712126
0.0007875,273835870.09540224
0.0007925,274381231.1736833
0.0007975,274926592.2519643
0.0008025,275471953.33024526
0.0008075000000000001,276017314.40852624
0.0008125000000000001,276562675.4868073
0.0008175000000000001,277108036.5650883
